Legislation Number,URL,Congress,Title,Amends Bill,Sponsor,Date Offered,Date of Introduction,Number of Cosponsors,Date Submitted,Date Proposed,Committees,Latest Action,Latest Action Date,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject
S. 245,https://www.congress.gov/bill/116th-congress/senate-bill/245,116th Congress (2019-2020),Damon Paul Nelson and Matthew Young Pollard Intelligence Authorization Act for Fiscal Years 2018 and 2019,,"Burr, Richard [Sen.-R-NC]",,1/28/19,1,,,Senate - Intelligence (Select),Read twice and referred to the Select Committee on Intelligence.,1/28/19,"Warner, Mark R. [Sen.-D-VA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advisory bodies,Appropriations,Computer security and identity theft,Congressional oversight,Criminal justice information and records,Department of Energy,Electric power generation and transmission,Employment discrimination and employee rights,Chemical and biological weapons,Energy research,"Energy storage, supplies, demand",Executive agency funding and structure,Federal officials,"Government buildings, facilities, and property","Government employee pay, benefits, personnel management",Industrial facilities,"Intelligence activities, surveillance, classified information",Performance measurement,Personnel records,Public contracts and procurement,Research administration and funding,Right of privacy,Technology assessment,Caribbean area,Coal,Cuba,Currency,Foreign and international banking,Foreign labor,Government information and archives,Health programs administration and funding,Health promotion and preventive care,Immigration status and procedures,Infectious and parasitic diseases,International organizations and cooperation,Iran,Israel,Latin America,Lebanon,Manufacturing,"Marine and coastal resources, fisheries",Metals,Middle East,"Military assistance, sales, and agreements",Mining,North Korea,Student records,Syria,Terrorism,World health,Yemen,Asia,Budget process,California,Central Intelligence Agency (CIA),China,Coast guard,Computers and information technology,"Criminal investigation, prosecution, interrogation",Department of Defense,Department of Homeland Security,Department of Justice,Department of State,Department of the Treasury,"Diplomacy, foreign officials, Americans abroad",Director of National Intelligence,Drug Enforcement Administration (DEA),"Elections, voting, political campaign regulation",Employee hiring,Espionage and treason,Federal Bureau of Investigation (FBI),Foreign language and bilingual programs,Fraud offenses and financial crimes,"Government ethics and transparency, public corruption",Government studies and investigations,Higher education,Intellectual property,Intergovernmental relations,International law and treaties,Internet and video services,Maryland,Minority employment,National Security Agency,New York State,Nuclear weapons,Organized crime,Public-private cooperation,Research and development,Russia,Sanctions,Science and engineering education,State and local government operations,Subversive activities,"Teaching, teachers, curricula",Technology transfer and commercialization,Telephone and wireless communication,Trade secrets and economic espionage,Travel and tourism,U.S. and foreign investments,United Nations,Visas and passports,Water use and supply,Armed Forces and National Security,Foreign aid and international relief,"Internet, web applications, social media",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 248,https://www.congress.gov/bill/116th-congress/senate-bill/248,116th Congress (2019-2020),A bill to ensure that the Secretary of the Interior collaborates fully with State and local authorities and certain nonprofit entities in managing the Corolla Wild Horse population on Federal land.,,"Tillis, Thomas [Sen.-R-NC]",,1/28/19,1,,,Senate - Environment and Public Works,Read twice and referred to the Committee on Environment and Public Works.,1/28/19,"Burr, Richard [Sen.-R-NC]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Animal protection and human-animal relationships,Endangered and threatened species,Mammals,North Carolina,Seashores and lakeshores,"Wilderness and natural areas, wildlife refuges, wild rivers, habitats",Wildlife conservation and habitat protection,Public Lands and Natural Resources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 249,https://www.congress.gov/bill/116th-congress/senate-bill/249,116th Congress (2019-2020),"A bill to direct the Secretary of State to develop a strategy to regain observer status for Taiwan in the World Health Organization, and for other purposes.",,"Inhofe, James M. [Sen.-R-OK]",,1/29/19,23,,,Senate - Foreign Relations,Held at the desk.,5/12/20,"Toomey, Patrick [Sen.-R-PA]","Coons, Christopher A. [Sen.-D-DE]","McSally, Martha [Sen.-R-AZ]","Young, Todd [Sen.-R-IN]","Scott, Rick [Sen.-R-FL]","Gardner, Cory [Sen.-R-CO]","Grassley, Chuck [Sen.-R-IA]","Moran, Jerry [Sen.-R-KS]","Hawley, Josh [Sen.-R-MO]","Loeffler, Kelly [Sen.-R-GA]","Cornyn, John [Sen.-R-TX]","Menendez, Robert [Sen.-D-NJ]","Brown, Sherrod [Sen.-D-OH]","Manchin, Joe, III [Sen.-D-WV]","Boozman, John [Sen.-R-AR]","Rubio, Marco [Sen.-R-FL]","Markey, Edward J. [Sen.-D-MA]","Cassidy, Bill [Sen.-R-LA]","Lankford, James [Sen.-R-OK]","Rounds, Mike [Sen.-R-SD]","Cruz, Ted [Sen.-R-TX]","Peters, Gary C. [Sen.-D-MI]","Wyden, Ron [Sen.-D-OR]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia,International Affairs,International organizations and cooperation,Taiwan,World health,Congressional oversight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 252,https://www.congress.gov/bill/116th-congress/senate-bill/252,116th Congress (2019-2020),A bill to authorize the honorary appointment of Robert J. Dole to the grade of colonel in the regular Army.,,"Roberts, Pat [Sen.-R-KS]",,1/29/19,1,,,House - Armed Services | Senate - Armed Services,Became Public Law No: 116-11.,4/6/19,"Moran, Jerry [Sen.-R-KS]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armed Forces and National Security,Kansas,Members of Congress,Military personnel and dependents,Senate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 253,https://www.congress.gov/bill/116th-congress/senate-bill/253,116th Congress (2019-2020),Streamlining Energy Efficiency for Schools Act,,"Collins, Susan M. [Sen.-R-ME]",,1/29/19,6,,,Senate - Energy and Natural Resources,Placed on Senate Legislative Calendar under General Orders. Calendar No. 207.,9/19/19,"Merkley, Jeff [Sen.-D-OR]","Shaheen, Jeanne [Sen.-D-NH]","Warner, Mark R. [Sen.-D-VA]","Portman, Rob [Sen.-R-OH]","Hassan, Margaret Wood [Sen.-D-NH]","Warren, Elizabeth [Sen.-D-MA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alternative and renewable resources,Building construction,Educational facilities and institutions,Elementary and secondary education,Energy,Energy efficiency and conservation,Government information and archives,Higher education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 265,https://www.congress.gov/bill/116th-congress/senate-bill/265,116th Congress (2019-2020),"Threat Assessment, Prevention, and Safety Act of 2019",,"Rubio, Marco [Sen.-R-FL]",,1/29/19,4,,,Senate - Homeland Security and Governmental Affairs,Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,1/29/19,"Cornyn, John [Sen.-R-TX]","Sinema, Kyrsten [Sen.-D-AZ]","Scott, Rick [Sen.-R-FL]","Tillis, Thomas [Sen.-R-NC]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emergency Management,Child safety and welfare,Congressional oversight,Crime prevention,Crimes against children,"Criminal investigation, prosecution, interrogation",Department of Homeland Security,Educational facilities and institutions,Elementary and secondary education,Executive agency funding and structure,Government information and archives,Higher education,Mental health,Terrorism,Violent crime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 267,https://www.congress.gov/bill/116th-congress/senate-bill/267,116th Congress (2019-2020),North American Development Bank Improvement Act of 2019,,"Cornyn, John [Sen.-R-TX]",,1/29/19,5,,,Senate - Foreign Relations,Read twice and referred to the Committee on Foreign Relations.,1/29/19,"Heinrich, Martin [Sen.-D-NM]","Feinstein, Dianne [Sen.-D-CA]","McSally, Martha [Sen.-R-AZ]","Sinema, Kyrsten [Sen.-D-AZ]","Udall, Tom [Sen.-D-NM]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air quality,Congressional oversight,"Energy storage, supplies, demand",Foreign loans and debt,International Affairs,Latin America,Mexico,Motor vehicles,Multilateral development programs,North America,Oil and gas,Performance measurement,Pipelines,Roads and highways,Solid waste and recycling,Water quality,Water use and supply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 268,https://www.congress.gov/bill/116th-congress/senate-bill/268,116th Congress (2019-2020),WILD Act,,"Barrasso, John [Sen.-R-WY]",,1/29/19,5,,,Senate - Environment and Public Works,By Senator Barrasso from Committee on Environment and Public Works filed written report. Report No. 116-18.,3/26/19,"Inhofe, James M. [Sen.-R-OK]","Carper, Thomas R. [Sen.-D-DE]","Whitehouse, Sheldon [Sen.-D-RI]","Boozman, John [Sen.-R-AR]","Booker, Cory A. [Sen.-D-NJ]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Animals,Advanced technology and technological innovations,Advisory bodies,Africa,American Samoa,Animal protection and human-animal relationships,Aquatic ecology,Asia,Caribbean area,Ecology,Endangered and threatened species,Guam,Hunting and fishing,International organizations and cooperation,Mammals,Northern Mariana Islands,Puerto Rico,Reptiles,Smuggling and trafficking,U.S. territories and protectorates,Virgin Islands,Wildlife conservation and habitat protection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 273,https://www.congress.gov/bill/116th-congress/senate-bill/273,116th Congress (2019-2020),Kelsey Smith Act,,"Roberts, Pat [Sen.-R-KS]",,1/30/19,3,,,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce, Science, and Transportation. (Sponsor introductory remarks on measure: CR S770-771)",1/30/19,"Blunt, Roy [Sen.-R-MO]","Moran, Jerry [Sen.-R-KS]","Fischer, Deb [Sen.-R-NE]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Civil actions and liability,Criminal justice information and records,Emergency communications systems,Law enforcement administration and funding,Law enforcement officers,Telephone and wireless communication,"Criminal investigation, prosecution, interrogation","Science, Technology, Communications",Internet and video services,"Internet, web applications, social media",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 274,https://www.congress.gov/bill/116th-congress/senate-bill/274,116th Congress (2019-2020),Child Welfare Provider Inclusion Act of 2019,,"Enzi, Michael B. [Sen.-R-WY]",,1/30/19,19,,,Senate - Finance,Read twice and referred to the Committee on Finance.,1/30/19,"Inhofe, James M. [Sen.-R-OK]","Cornyn, John [Sen.-R-TX]","Risch, James E. [Sen.-R-ID]","Blunt, Roy [Sen.-R-MO]","Lee, Mike [Sen.-R-UT]","Cruz, Ted [Sen.-R-TX]","Scott, Tim [Sen.-R-SC]","Cassidy, Bill [Sen.-R-LA]","Cotton, Tom [Sen.-R-AR]","Daines, Steve [Sen.-R-MT]","Ernst, Joni [Sen.-R-IA]","Lankford, James [Sen.-R-OK]","Sasse, Ben [Sen.-R-NE]","Kennedy, John [Sen.-R-LA]","Blackburn, Marsha [Sen.-R-TN]","Hawley, Josh [Sen.-R-MO]","Wicker, Roger F. [Sen.-R-MS]","Braun, Mike [Sen.-R-IN]","Loeffler, Kelly [Sen.-R-GA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Administrative remedies,Adoption and foster care,Child safety and welfare,Civil actions and liability,Poverty and welfare assistance,Religion,Social Welfare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 278,https://www.congress.gov/bill/116th-congress/senate-bill/278,116th Congress (2019-2020),CBO Show Your Work Act,,"Lee, Mike [Sen.-R-UT]",,1/30/19,20,,,Senate - Budget,Read twice and referred to the Committee on the Budget.,1/30/19,"Braun, Mike [Sen.-R-IN]","Inhofe, James M. [Sen.-R-OK]","Roberts, Pat [Sen.-R-KS]","Crapo, Mike [Sen.-R-ID]","Burr, Richard [Sen.-R-NC]","Risch, James E. [Sen.-R-ID]","Rubio, Marco [Sen.-R-FL]","Cruz, Ted [Sen.-R-TX]","Cassidy, Bill [Sen.-R-LA]","Daines, Steve [Sen.-R-MT]","Ernst, Joni [Sen.-R-IA]","Gardner, Cory [Sen.-R-CO]","Perdue, David [Sen.-R-GA]","Rounds, Mike [Sen.-R-SD]","Young, Todd [Sen.-R-IN]","Blackburn, Marsha [Sen.-R-TN]","Alexander, Lamar [Sen.-R-TN]","Tillis, Thomas [Sen.-R-NC]","Hawley, Josh [Sen.-R-MO]","Scott, Rick [Sen.-R-FL]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Budget process,Congressional Budget Office (CBO),Congressional agencies,Congressional oversight,Economic performance and conditions,Economics and Public Finance,Government information and archives,Legislative rules and procedure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 279,https://www.congress.gov/bill/116th-congress/senate-bill/279,116th Congress (2019-2020),Tribal School Federal Insurance Parity Act,,"Thune, John [Sen.-R-SD]",,1/30/19,8,,,Senate - Indian Affairs,Placed on Senate Legislative Calendar under General Orders. Calendar No. 135.,7/9/19,"McSally, Martha [Sen.-R-AZ]","Rounds, Mike [Sen.-R-SD]","Udall, Tom [Sen.-D-NM]","Heinrich, Martin [Sen.-D-NM]","Barrasso, John [Sen.-R-WY]","Tester, Jon [Sen.-D-MT]","Cramer, Kevin [Sen.-R-ND]","Warren, Elizabeth [Sen.-D-MA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Government employee pay, benefits, personnel management",Health care costs and insurance,Health care coverage and access,Indian social and development programs,"Life, casualty, property insurance",Minority education,Minority health,Native Americans,"Teaching, teachers, curricula",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 282,https://www.congress.gov/bill/116th-congress/senate-bill/282,116th Congress (2019-2020),Genetically Engineered Salmon Labeling Act,,"Murkowski, Lisa [Sen.-R-AK]",,1/30/19,3,,,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",1/30/19,"Cantwell, Maria [Sen.-D-WA]","Merkley, Jeff [Sen.-D-OR]","Sullivan, Dan [Sen.-R-AK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health,Fishes,"Food supply, safety, and labeling",Genetics,"Marine and coastal resources, fisheries",Marketing and advertising,Seafood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 283,https://www.congress.gov/bill/116th-congress/senate-bill/283,116th Congress (2019-2020),Increasing Access to Osteoporosis Testing for Medicare Beneficiaries Act of 2019,,"Collins, Susan M. [Sen.-R-ME]",,1/30/19,17,,,Senate - Finance,Read twice and referred to the Committee on Finance.,1/30/19,"Udall, Tom [Sen.-D-NM]","Stabenow, Debbie [Sen.-D-MI]","Cardin, Benjamin L. [Sen.-D-MD]","Wicker, Roger F. [Sen.-R-MS]","King, Angus S., Jr. [Sen.-I-ME]","Capito, Shelley Moore [Sen.-R-WV]","Blackburn, Marsha [Sen.-R-TN]","Blumenthal, Richard [Sen.-D-CT]","Kennedy, John [Sen.-R-LA]","Tester, Jon [Sen.-D-MT]","Brown, Sherrod [Sen.-D-OH]","Menendez, Robert [Sen.-D-NJ]","Feinstein, Dianne [Sen.-D-CA]","Rosen, Jacky [Sen.-D-NV]","Sinema, Kyrsten [Sen.-D-AZ]","Heinrich, Martin [Sen.-D-NM]","McSally, Martha [Sen.-R-AZ]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medicare,Musculoskeletal and skin diseases,Women's health,Health,Medical tests and diagnostic methods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 284,https://www.congress.gov/bill/116th-congress/senate-bill/284,116th Congress (2019-2020),Biennial Budgeting and Appropriations Act,,"Isakson, Johnny [Sen.-R-GA]",,1/30/19,17,,,Senate - Budget,Read twice and referred to the Committee on the Budget.,1/30/19,"Manchin, Joe, III [Sen.-D-WV]","Grassley, Chuck [Sen.-R-IA]","Carper, Thomas R. [Sen.-D-DE]","Cornyn, John [Sen.-R-TX]","Alexander, Lamar [Sen.-R-TN]","Thune, John [Sen.-R-SD]","Klobuchar, Amy [Sen.-D-MN]","Barrasso, John [Sen.-R-WY]","Shaheen, Jeanne [Sen.-D-NH]","Portman, Rob [Sen.-R-OH]","Kaine, Tim [Sen.-D-VA]","Hassan, Margaret Wood [Sen.-D-NH]","Blackburn, Marsha [Sen.-R-TN]","Scott, Rick [Sen.-R-FL]","Fischer, Deb [Sen.-R-NE]","Braun, Mike [Sen.-R-IN]","Warner, Mark R. [Sen.-D-VA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriations,Budget process,Economics and Public Finance,Financial crises and stabilization,Homeland security,Performance measurement,Veterans' medical care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
