Legislation Number,URL,Congress,Title,Amends Bill,Sponsor,Date Offered,Date of Introduction,Number of Cosponsors,Date Submitted,Date Proposed,Committees,Latest Action,Latest Action Date,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject
S. 1530,https://www.congress.gov/bill/116th-congress/senate-bill/1530,116th Congress (2019-2020),Youth Access to Sexual Health Services Act of 2019,,"Hirono, Mazie K. [Sen.-D-HI]",,5/16/19,7,,,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",5/16/19,"Brown, Sherrod [Sen.-D-OH]","Gillibrand, Kirsten E. [Sen.-D-NY]","Blumenthal, Richard [Sen.-D-CT]","Murphy, Christopher [Sen.-D-CT]","Warren, Elizabeth [Sen.-D-MA]","Markey, Edward J. [Sen.-D-MA]","Booker, Cory A. [Sen.-D-NJ]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assault and harassment offenses,Cancer,Child health,Community life and organization,Crime victims,Crimes against women,Education of the disadvantaged,Education programs funding,Family planning and birth control,HIV/AIDS,Health,Health care coverage and access,Health programs administration and funding,Health promotion and preventive care,Immunology and vaccination,Medical tests and diagnostic methods,Mental health,Sex and reproductive health,Sex offenses,"Sex, gender, sexual orientation discrimination",Sexually transmitted diseases,Women's health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1534,https://www.congress.gov/bill/116th-congress/senate-bill/1534,116th Congress (2019-2020),"A bill to require the Secretary of Defense to conduct an assessment of quantum computing technology to address problems associated with exposure to PFAS, and for other purposes.",,"Peters, Gary C. [Sen.-D-MI]",,5/16/19,1,,,Senate - Armed Services,Read twice and referred to the Committee on Armed Services.,5/16/19,"Ernst, Joni [Sen.-R-IA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armed Forces and National Security,Computers and information technology,Hazardous wastes and toxic substances,Military facilities and property,Technology assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1535,https://www.congress.gov/bill/116th-congress/senate-bill/1535,116th Congress (2019-2020),REPAIR Act,,"Warner, Mark R. [Sen.-D-VA]",,5/16/19,7,,,Senate - Finance,Read twice and referred to the Committee on Finance.,5/16/19,"Cornyn, John [Sen.-R-TX]","Graham, Lindsey [Sen.-R-SC]","Klobuchar, Amy [Sen.-D-MN]","Coons, Christopher A. [Sen.-D-DE]","Blumenthal, Richard [Sen.-D-CT]","Blunt, Roy [Sen.-R-MO]","Braun, Mike [Sen.-R-IN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transportation and Public Works,Aviation and airports,Dams and canals,Electric power generation and transmission,"Energy storage, supplies, demand","Environmental assessment, monitoring, research",Government corporations and government-sponsored enterprises,Government lending and loan guarantees,Income tax exclusion,Infrastructure development,Licensing and registrations,Marine and inland water transportation,"Navigation, waterways, harbors",Public transit,Public-private cooperation,Railroads,Roads and highways,Rural conditions and development,Securities,State and local finance,Transportation programs funding,Water quality,Water resources funding,Water use and supply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1536,https://www.congress.gov/bill/116th-congress/senate-bill/1536,116th Congress (2019-2020),Age-Friendly Communities Act of 2019,,"Peters, Gary C. [Sen.-D-MI]",,5/16/19,1,,,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",5/16/19,"Boozman, John [Sen.-R-AR]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social Welfare,Aging,Community life and organization,Government information and archives,Health care coverage and access,Health promotion and preventive care,Home and outpatient care,Housing for the elderly and disabled,"Long-term, rehabilitative, and terminal care",Sierra Leone,"Social work, volunteer service, charitable organizations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1538,https://www.congress.gov/bill/116th-congress/senate-bill/1538,116th Congress (2019-2020),CPRA,,"Warner, Mark R. [Sen.-D-VA]",,5/16/19,3,,,Senate - Environment and Public Works,Read twice and referred to the Committee on Environment and Public Works.,5/16/19,"Graham, Lindsey [Sen.-R-SC]","Blunt, Roy [Sen.-R-MO]","Braun, Mike [Sen.-R-IN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government Operations and Politics,Congressional oversight,"Government buildings, facilities, and property",Homelessness and emergency shelter,Land transfers,Legislative rules and procedure,"Presidents and presidential powers, Vice Presidents",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1540,https://www.congress.gov/bill/116th-congress/senate-bill/1540,116th Congress (2019-2020),Election Security Act of 2019,,"Klobuchar, Amy [Sen.-D-MN]",,5/16/19,40,,,Senate - Rules and Administration,Read twice and referred to the Committee on Rules and Administration.,5/16/19,"Cortez Masto, Catherine [Sen.-D-NV]","Tester, Jon [Sen.-D-MT]","Merkley, Jeff [Sen.-D-OR]","Shaheen, Jeanne [Sen.-D-NH]","Udall, Tom [Sen.-D-NM]","Warner, Mark R. [Sen.-D-VA]","Bennet, Michael F. [Sen.-D-CO]","Gillibrand, Kirsten E. [Sen.-D-NY]","Coons, Christopher A. [Sen.-D-DE]","Blumenthal, Richard [Sen.-D-CT]","Schatz, Brian [Sen.-D-HI]","Baldwin, Tammy [Sen.-D-WI]","Heinrich, Martin [Sen.-D-NM]","Hirono, Mazie K. [Sen.-D-HI]","Kaine, Tim [Sen.-D-VA]","King, Angus S., Jr. [Sen.-I-ME]","Warren, Elizabeth [Sen.-D-MA]","Markey, Edward J. [Sen.-D-MA]","Booker, Cory A. [Sen.-D-NJ]","Peters, Gary C. [Sen.-D-MI]","Duckworth, Tammy [Sen.-D-IL]","Harris, Kamala D. [Sen.-D-CA]","Hassan, Margaret Wood [Sen.-D-NH]","Van Hollen, Chris [Sen.-D-MD]","Jones, Doug [Sen.-D-AL]","Smith, Tina [Sen.-D-MN]","Rosen, Jacky [Sen.-D-NV]","Murphy, Christopher [Sen.-D-CT]","Leahy, Patrick J. [Sen.-D-VT]","Feinstein, Dianne [Sen.-D-CA]","Murray, Patty [Sen.-D-WA]","Durbin, Richard J. [Sen.-D-IL]","Reed, Jack [Sen.-D-RI]","Schumer, Charles E. [Sen.-D-NY]","Carper, Thomas R. [Sen.-D-DE]","Stabenow, Debbie [Sen.-D-MI]","Brown, Sherrod [Sen.-D-OH]","Cardin, Benjamin L. [Sen.-D-MD]","Casey, Robert P., Jr. [Sen.-D-PA]","Sanders, Bernard [Sen.-I-VT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government Operations and Politics,Accounting and auditing,Buy American requirements,Computer security and identity theft,Congressional oversight,Disability and paralysis,"Elections, voting, political campaign regulation","Government employee pay, benefits, personnel management",Government information and archives,Government studies and investigations,"Intelligence activities, surveillance, classified information",Manufacturing,Public contracts and procurement,State and local government operations,Subversive activities,Technology assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1542,https://www.congress.gov/bill/116th-congress/senate-bill/1542,116th Congress (2019-2020),"A bill to amend title 37, United States Code, to standardize payment of hazardous duty incentive pay for members performing parachute jumping as an essential part of military duty, and for other purposes.",,"Manchin, Joe, III [Sen.-D-WV]",,5/20/19,0,,,Senate - Armed Services,Read twice and referred to the Committee on Armed Services.,5/20/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armed Forces and National Security,Military personnel and dependents,National Guard and reserves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1546,https://www.congress.gov/bill/116th-congress/senate-bill/1546,116th Congress (2019-2020),ESCAPE Act,,"Markey, Edward J. [Sen.-D-MA]",,5/20/19,2,,,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce, Science, and Transportation.",5/20/19,"Feinstein, Dianne [Sen.-D-CA]","Warren, Elizabeth [Sen.-D-MA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transportation and Public Works,Aviation and airports,Emergency planning and evacuation,First responders and emergency personnel,Floods and storm protection,Infrastructure development,Natural disasters,"Navigation, waterways, harbors",Public transit,Railroads,Roads and highways,Transportation programs funding,Transportation safety and security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1548,https://www.congress.gov/bill/116th-congress/senate-bill/1548,116th Congress (2019-2020),Prohibiting Incentives for Corporations that Kickout Employees Tax (PICKET) Act,,"Tester, Jon [Sen.-D-MT]",,5/20/19,0,,,Senate - Finance,Read twice and referred to the Committee on Finance.,5/20/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taxation,Corporate finance and management,Income tax credits,Income tax deductions,Income tax rates,Labor-management relations,Research and development,Temporary and part-time employment,Wages and earnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1549,https://www.congress.gov/bill/116th-congress/senate-bill/1549,116th Congress (2019-2020),Labor Leave Act,,"Tester, Jon [Sen.-D-MT]",,5/20/19,0,,,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",5/20/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Labor and Employment,Administrative law and regulatory procedures,Department of Labor,Employee benefits and pensions,Employee leave,Health care costs and insurance,Health care coverage and access,Labor-management relations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1550,https://www.congress.gov/bill/116th-congress/senate-bill/1550,116th Congress (2019-2020),Helping to Encourage Real Opportunities (HERO) for At-Risk Youth Act of 2019,,"Durbin, Richard J. [Sen.-D-IL]",,5/20/19,1,,,Senate - Finance,Read twice and referred to the Committee on Finance. (text: CR S2967),5/20/19,"Duckworth, Tammy [Sen.-D-IL]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adoption and foster care,Economic development,Education of the disadvantaged,Income tax credits,Taxation,Temporary and part-time employment,Unemployment,Wages and earnings,Youth employment and child labor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1551,https://www.congress.gov/bill/116th-congress/senate-bill/1551,116th Congress (2019-2020),Creating Pathways for Youth Employment Act,,"Durbin, Richard J. [Sen.-D-IL]",,5/20/19,1,,,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions. (text: CR S2967-2971)",5/20/19,"Duckworth, Tammy [Sen.-D-IL]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adoption and foster care,Community life and organization,Education of the disadvantaged,Employment and training programs,Homelessness and emergency shelter,Indian social and development programs,Juvenile crime and gang violence,Labor and Employment,Minority employment,Temporary and part-time employment,Unemployment,Wages and earnings,Youth employment and child labor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1552,https://www.congress.gov/bill/116th-congress/senate-bill/1552,116th Congress (2019-2020),Marijuana Freedom and Opportunity Act,,"Schumer, Charles E. [Sen.-D-NY]",,5/20/19,9,,,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary. (text: CR S2971-2972),5/20/19,"Heinrich, Martin [Sen.-D-NM]","Wyden, Ron [Sen.-D-OR]","Sanders, Bernard [Sen.-I-VT]","Merkley, Jeff [Sen.-D-OR]","Gillibrand, Kirsten E. [Sen.-D-NY]","Kaine, Tim [Sen.-D-VA]","Warren, Elizabeth [Sen.-D-MA]","Duckworth, Tammy [Sen.-D-IL]","Markey, Edward J. [Sen.-D-MA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Child safety and welfare,Crime and Law Enforcement,Criminal justice information and records,Criminal procedure and sentencing,Drug trafficking and controlled substances,"Forests, forestry, trees",Government trust funds,Law enforcement administration and funding,Marketing and advertising,Medical research,Minority employment,Research administration and funding,Sales and excise taxes,Small business,Transportation safety and security,Women in business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1553,https://www.congress.gov/bill/116th-congress/senate-bill/1553,116th Congress (2019-2020),End the Threat of Default Act,,"Schatz, Brian [Sen.-D-HI]",,5/21/19,5,,,Senate - Finance,"Committee on Banking, Housing, and Urban Affairs. Hearings held.",2/25/20,"Wyden, Ron [Sen.-D-OR]","Murray, Patty [Sen.-D-WA]","Whitehouse, Sheldon [Sen.-D-RI]","Bennet, Michael F. [Sen.-D-CO]","Van Hollen, Chris [Sen.-D-MD]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Budget deficits and national debt,Economics and Public Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
