Legislation Number,URL,Congress,Title,Amends Bill,Sponsor,Date Offered,Date of Introduction,Number of Cosponsors,Date Submitted,Date Proposed,Committees,Latest Action,Latest Action Date,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject
S. 552,https://www.congress.gov/bill/115th-congress/senate-bill/552,115th Congress (2017-2018),Justice for Victims of Fraud Act of 2017,,"Brown, Sherrod [Sen.-D-OH]",,3/7/17,21,,,"Senate - Banking, Housing, and Urban Affairs","Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",3/7/17,"Reed, Jack [Sen.-D-RI]","Warner, Mark R. [Sen.-D-VA]","Schatz, Brian [Sen.-D-HI]","Heitkamp, Heidi [Sen.-D-ND]","Warren, Elizabeth [Sen.-D-MA]","Van Hollen, Chris [Sen.-D-MD]","Cortez Masto, Catherine [Sen.-D-NV]","Gillibrand, Kirsten E. [Sen.-D-NY]","Hirono, Mazie K. [Sen.-D-HI]","Wyden, Ron [Sen.-D-OR]","Leahy, Patrick J. [Sen.-D-VT]","Franken, Al [Sen.-D-MN]","Murray, Patty [Sen.-D-WA]","Casey, Robert P., Jr. [Sen.-D-PA]","Whitehouse, Sheldon [Sen.-D-RI]","Feinstein, Dianne [Sen.-D-CA]","Durbin, Richard J. [Sen.-D-IL]","Sanders, Bernard [Sen.-I-VT]","Menendez, Robert [Sen.-D-NJ]","Blumenthal, Richard [Sen.-D-CT]","Merkley, Jeff [Sen.-D-OR]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance and Financial Sector,Consumer credit,"Bank accounts, deposits, capital","Alternative dispute resolution, mediation, arbitration",Fraud offenses and financial crimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 553,https://www.congress.gov/bill/115th-congress/senate-bill/553,115th Congress (2017-2018),Court Legal Access and Student Support (CLASS) Act of 2017,,"Durbin, Richard J. [Sen.-D-IL]",,3/7/17,8,,,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",3/7/17,"Markey, Edward J. [Sen.-D-MA]","Hirono, Mazie K. [Sen.-D-HI]","Warren, Elizabeth [Sen.-D-MA]","Brown, Sherrod [Sen.-D-OH]","Whitehouse, Sheldon [Sen.-D-RI]","Franken, Al [Sen.-D-MN]","Blumenthal, Richard [Sen.-D-CT]","Reed, Jack [Sen.-D-RI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Higher education,Education,Civil actions and liability,"Alternative dispute resolution, mediation, arbitration",Student aid and college costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 554,https://www.congress.gov/bill/115th-congress/senate-bill/554,115th Congress (2017-2018),A bill to provide for reconciliation pursuant to section 2002 of the concurrent resolution on the budget for fiscal year 2017.,,"Paul, Rand [Sen.-R-KY]",,3/7/17,1,,,Senate - Finance,Read twice and referred to the Committee on Finance.,3/7/17,"Lee, Mike [Sen.-R-UT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abortion,Appropriations,Drug trafficking and controlled substances,"Drug, alcohol, tobacco use",Employee benefits and pensions,Employment taxes,Family planning and birth control,Government trust funds,Health,Health care costs and insurance,Health care coverage and access,Health facilities and institutions,Health programs administration and funding,Health promotion and preventive care,"Health technology, devices, supplies",Hospital care,Income tax credits,Income tax deductions,Self-employed,Sales and excise taxes,Prescription drugs,Mental health,Medicare,Medical education,Women's health,Tax-exempt organizations,"Tax administration and collection, taxpayers",Medicaid,Sex and reproductive health,Small business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 555,https://www.congress.gov/bill/115th-congress/senate-bill/555,115th Congress (2017-2018),A bill for the relief of Shirley Constantino Tan.,,"Feinstein, Dianne [Sen.-D-CA]",,3/7/17,0,,,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary. (Sponsor introductory remarks on measure: CR S1642-1643),3/7/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private Legislation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 556,https://www.congress.gov/bill/115th-congress/senate-bill/556,115th Congress (2017-2018),A bill for the relief of Joseph Gabra and Sharon Kamel.,,"Feinstein, Dianne [Sen.-D-CA]",,3/7/17,0,,,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary. (Sponsor introductory remarks on measure: CR S1643),3/7/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private Legislation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 557,https://www.congress.gov/bill/115th-congress/senate-bill/557,115th Congress (2017-2018),"A bill for the relief of Jose Alberto Martinez Moreno, Micaela Lopez Martinez, and Adilene Martinez.",,"Feinstein, Dianne [Sen.-D-CA]",,3/7/17,0,,,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary. (Sponsor introductory remarks on measure: CR S1643-1644),3/7/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private Legislation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 558,https://www.congress.gov/bill/115th-congress/senate-bill/558,115th Congress (2017-2018),"A bill for the relief of Esidronio Arreola-Saucedo, Maria Elena Cobian Arreola, Nayely Arreola Carlos, and Cindy Jael Arreola.",,"Feinstein, Dianne [Sen.-D-CA]",,3/7/17,0,,,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary. (Sponsor introductory remarks on measure: CR S1644-1645),3/7/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private Legislation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 559,https://www.congress.gov/bill/115th-congress/senate-bill/559,115th Congress (2017-2018),A bill for the relief of Alfredo Plascencia Lopez.,,"Feinstein, Dianne [Sen.-D-CA]",,3/7/17,0,,,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary. (Sponsor introductory remarks on measure: CR S1645),3/7/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private Legislation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 560,https://www.congress.gov/bill/115th-congress/senate-bill/560,115th Congress (2017-2018),A bill for the relief of Jorge Rojas Gutierrez and Oliva Gonzalez.,,"Feinstein, Dianne [Sen.-D-CA]",,3/7/17,0,,,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary. (Sponsor introductory remarks on measure: CR S1645),3/7/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private Legislation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 561,https://www.congress.gov/bill/115th-congress/senate-bill/561,115th Congress (2017-2018),A bill for the relief of Alicia Aranda De Buendia.,,"Feinstein, Dianne [Sen.-D-CA]",,3/7/17,0,,,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary. (Sponsor introductory remarks on measure: CR S1645-1646),3/7/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private Legislation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 562,https://www.congress.gov/bill/115th-congress/senate-bill/562,115th Congress (2017-2018),"A bill for the relief of Ruben Mkoian, Asmik Karapetian, and Arthur Mkoian.",,"Feinstein, Dianne [Sen.-D-CA]",,3/7/17,0,,,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary. (Sponsor introductory remarks on measure: CR S1646),3/7/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private Legislation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 563,https://www.congress.gov/bill/115th-congress/senate-bill/563,115th Congress (2017-2018),Flood Insurance Market Parity and Modernization Act,,"Heller, Dean [Sen.-R-NV]",,3/8/17,10,,,"Senate - Banking, Housing, and Urban Affairs","Committee on Banking, Housing, and Urban Affairs. Hearings held. Hearings printed: S.Hrg. 115-16.",5/4/17,"Tester, Jon [Sen.-D-MT]","Rubio, Marco [Sen.-R-FL]","Cochran, Thad [Sen.-R-MS]","Cotton, Tom [Sen.-R-AR]","Perdue, David [Sen.-R-GA]","Scott, Tim [Sen.-R-SC]","Donnelly, Joe [Sen.-D-IN]","Portman, Rob [Sen.-R-OH]","Hyde-Smith, Cindy [Sen.-R-MS]","Ernst, Joni [Sen.-R-IA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,American Samoa,Caribbean area,Disaster relief and insurance,Finance and Financial Sector,Virgin Islands,Housing finance and home ownership,Northern Mariana Islands,Puerto Rico,Floods and storm protection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 564,https://www.congress.gov/bill/115th-congress/senate-bill/564,115th Congress (2017-2018),Help Americans Never Get Unwanted Phone calls Act of 2017,,"Markey, Edward J. [Sen.-D-MA]",,3/8/17,1,,,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce, Science, and Transportation.",3/8/17,"Lee, Mike [Sen.-R-UT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Administrative law and regulatory procedures,Debt collection,Federal Communications Commission (FCC),Public contracts and procurement,"Science, Technology, Communications",Telephone and wireless communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 565,https://www.congress.gov/bill/115th-congress/senate-bill/565,115th Congress (2017-2018),Judgment Fund Transparency Act of 2017,,"Fischer, Deb [Sen.-R-NE]",,3/8/17,3,,,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,3/8/17,"Grassley, Chuck [Sen.-R-IA]","Crapo, Mike [Sen.-R-ID]","Gardner, Cory [Sen.-R-CO]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government liability,Government Operations and Politics,Government information and archives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 566,https://www.congress.gov/bill/115th-congress/senate-bill/566,115th Congress (2017-2018),Methow Headwaters Protection Act,,"Cantwell, Maria [Sen.-D-WA]",,3/8/17,1,,,Senate - Energy and Natural Resources,Placed on Senate Legislative Calendar under General Orders. Calendar No. 142.,6/13/17,"Murray, Patty [Sen.-D-WA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Forests, forestry, trees",Lakes and rivers,Land transfers,Mining,Public Lands and Natural Resources,Washington State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 567,https://www.congress.gov/bill/115th-congress/senate-bill/567,115th Congress (2017-2018),Federal Savings Association Charter Flexibility Act of 2017,,"Heitkamp, Heidi [Sen.-D-ND]",,3/8/17,2,,,"Senate - Banking, Housing, and Urban Affairs","Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",3/8/17,"Moran, Jerry [Sen.-R-KS]","Rounds, Mike [Sen.-R-SD]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance and Financial Sector,Administrative law and regulatory procedures,Banking and financial institutions regulation,Department of the Treasury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 568,https://www.congress.gov/bill/115th-congress/senate-bill/568,115th Congress (2017-2018),Improving Access to Medicare Coverage Act of 2017,,"Brown, Sherrod [Sen.-D-OH]",,3/8/17,23,,,Senate - Finance,Read twice and referred to the Committee on Finance.,3/8/17,"King, Angus S., Jr. [Sen.-I-ME]","Smith, Tina [Sen.-D-MN]","Klobuchar, Amy [Sen.-D-MN]","Whitehouse, Sheldon [Sen.-D-RI]","Coons, Christopher A. [Sen.-D-DE]","Baldwin, Tammy [Sen.-D-WI]","Shaheen, Jeanne [Sen.-D-NH]","Stabenow, Debbie [Sen.-D-MI]","Heitkamp, Heidi [Sen.-D-ND]","Peters, Gary C. [Sen.-D-MI]","Reed, Jack [Sen.-D-RI]","Markey, Edward J. [Sen.-D-MA]","Leahy, Patrick J. [Sen.-D-VT]","Collins, Susan M. [Sen.-R-ME]","Nelson, Bill [Sen.-D-FL]","Murphy, Christopher [Sen.-D-CT]","Ernst, Joni [Sen.-R-IA]","Grassley, Chuck [Sen.-R-IA]","Blumenthal, Richard [Sen.-D-CT]","Capito, Shelley Moore [Sen.-R-WV]","Warren, Elizabeth [Sen.-D-MA]","Cardin, Benjamin L. [Sen.-D-MD]","Franken, Al [Sen.-D-MN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Long-term, rehabilitative, and terminal care",Hospital care,Home and outpatient care,Health care coverage and access,Health,Medicare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 569,https://www.congress.gov/bill/115th-congress/senate-bill/569,115th Congress (2017-2018),Land and Water Conservation Authorization and Funding Act,,"Cantwell, Maria [Sen.-D-WA]",,3/8/17,50,,,Senate - Energy and Natural Resources,By Senator Murkowski from Committee on Energy and Natural Resources filed written report. Report No. 115-428.,12/11/18,"Stabenow, Debbie [Sen.-D-MI]","Sanders, Bernard [Sen.-I-VT]","Peters, Gary C. [Sen.-D-MI]","Donnelly, Joe [Sen.-D-IN]","Leahy, Patrick J. [Sen.-D-VT]","Warner, Mark R. [Sen.-D-VA]","Gillibrand, Kirsten E. [Sen.-D-NY]","Franken, Al [Sen.-D-MN]","Cardin, Benjamin L. [Sen.-D-MD]","Shaheen, Jeanne [Sen.-D-NH]","Heinrich, Martin [Sen.-D-NM]","Udall, Tom [Sen.-D-NM]","Durbin, Richard J. [Sen.-D-IL]","Booker, Cory A. [Sen.-D-NJ]","King, Angus S., Jr. [Sen.-I-ME]","Gardner, Cory [Sen.-R-CO]","Brown, Sherrod [Sen.-D-OH]","Tester, Jon [Sen.-D-MT]","Klobuchar, Amy [Sen.-D-MN]","Bennet, Michael F. [Sen.-D-CO]","Hirono, Mazie K. [Sen.-D-HI]","Markey, Edward J. [Sen.-D-MA]","Alexander, Lamar [Sen.-R-TN]","Collins, Susan M. [Sen.-R-ME]","Kaine, Tim [Sen.-D-VA]","Jones, Doug [Sen.-D-AL]","Murray, Patty [Sen.-D-WA]","Burr, Richard [Sen.-R-NC]","Casey, Robert P., Jr. [Sen.-D-PA]","Hassan, Margaret Wood [Sen.-D-NH]","Harris, Kamala D. [Sen.-D-CA]","Van Hollen, Chris [Sen.-D-MD]","Duckworth, Tammy [Sen.-D-IL]","Wyden, Ron [Sen.-D-OR]","Schatz, Brian [Sen.-D-HI]","Graham, Lindsey [Sen.-R-SC]","Feinstein, Dianne [Sen.-D-CA]","Merkley, Jeff [Sen.-D-OR]","Manchin, Joe, III [Sen.-D-WV]","Baldwin, Tammy [Sen.-D-WI]","Blumenthal, Richard [Sen.-D-CT]","Nelson, Bill [Sen.-D-FL]","Daines, Steve [Sen.-R-MT]","Murphy, Christopher [Sen.-D-CT]","Coons, Christopher A. [Sen.-D-DE]","Warren, Elizabeth [Sen.-D-MA]","Menendez, Robert [Sen.-D-NJ]","Smith, Tina [Sen.-D-MN]","Schumer, Charles E. [Sen.-D-NY]","Cortez Masto, Catherine [Sen.-D-NV]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Outdoor recreation,"Parks, recreation areas, trails",Public Lands and Natural Resources,Land transfers,Hunting and fishing,Government trust funds,Land use and conservation,Appropriations,Congressional oversight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 570,https://www.congress.gov/bill/115th-congress/senate-bill/570,115th Congress (2017-2018),Weather Research and Forecasting Innovation Act of 2017,,"Thune, John [Sen.-R-SD]",,3/8/17,1,,,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce, Science, and Transportation.",3/8/17,"Schatz, Brian [Sen.-D-HI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advisory bodies,Atmospheric science and weather,Technology transfer and commercialization,Student aid and college costs,Spacecraft and satellites,"Science, Technology, Communications",Research and development,Research administration and funding,Public contracts and procurement,Natural disasters,Government information and archives,Executive agency funding and structure,Executive Office of the President,Emergency communications systems,Computers and information technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 571,https://www.congress.gov/bill/115th-congress/senate-bill/571,115th Congress (2017-2018),Chattahoochee-Oconee National Forest Land Adjustment Act,,"Perdue, David [Sen.-R-GA]",,3/8/17,1,,,"Senate - Agriculture, Nutrition, and Forestry","Read twice and referred to the Committee on Agriculture, Nutrition, and Forestry.",3/8/17,"Isakson, Johnny [Sen.-R-GA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Land transfers,Georgia,"Forests, forestry, trees",Public Lands and Natural Resources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
